R1,R2,R3,R4,R5
2,2,2,1,4
4,6,2,4,2
2,2,2,2,3
2,2,2,2,2
1,3,4,2,2
1,3,3,5,2
2,2,2,2,2
2,2,2,2,2
3,3,2,3,3
2,2,2,2,3
2,2,2,2,2
2,2,3,2,6
4,7,3,7,3
2,3,1,2,2
2,2,1,2,1
4,2,3,2,2
2,2,2,2,1
3,1,2,3,2
1,2,1,4,2
2,1,2,2,2
17,39,2,2,3
27,3,26,2,2
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
40,-1,-1,-1,-1
1,-1,-1,-1,-1
34,-1,-1,-1,87
95,6,4,39,7
-1,4,5,2,2
96,7,6,3,3
96,3,1,1,1
5,0,1,0,0
1,20,2,2,3
2,22,7,10,9
13,41,7,12,5
16,21,4,7,9
6,3,55,8,50
2,77,3,77,58
1,20,2,17,31
1,4,2,3,21
1,2,1,1,41
1,1,2,2,13
1,1,2,2,3
1,1,1,1,1
1,1,1,1,2
2,1,1,1,1
2,1,1,4,3
3,1,1,4,1
0,1,0,0,0
1,1,1,1,2
0,0,2,0,1
0,1,0,0,0
0,0,0,0,1
0,0,0,1,0
1,1,1,1,1
1,1,1,1,1
1,1,1,2,1
2,1,1,0,2
1,1,1,1,1
1,1,1,1,1
0,0,2,0,0
14,14,14,14,13
2,2,1,1,3
1,1,1,2,1
1,1,1,1,2
1,1,1,1,1
2,2,2,2,2
2,2,3,7,2
4,3,2,3,2
7,3,3,3,8
2,2,1,4,2
